"","p_value_mix_compsym"
"IMPDH1",0.00425794289286752
"BTN3A2",1.14352971536391e-14
"BZW2",0.0158859515415768
"IKZF1",0.00323798211415582
"SEC24C",0.0203422749843285
"PHPT1",0.000882914186657535
"INSIG2",6.29534202545301e-11
"CUEDC1",9.34302093336115e-06
"SEPT2",3.3628655415896e-13
"DDX27",0.137165944174071
"PIPSL",0.477386923282463
"SIRPG",0.00071170321579328
"C8orf37",0.394256742051171
"MFAP1",0.00301859100599766
"BTAF1",2.68562949656825e-12
"ABCE1",2.13466564205067e-05
"RAB37",7.04975812393371e-07
"CDK19",0.000865816442780165
"ADCY3",0.382149449246207
"CD247",1.75707305372086e-07
"TYK2",0.0488157576779219
"MTSS1",1.36193278876817e-11
"NPIPA1",9.72065188542537e-06
"CHUK",7.46960584496748e-08
